Rozmiar tablicy	Dlugosc ciagu	Operacje
250	100	3.310000
250	200	2.230000
250	300	2.470000
250	400	2.450000
250	500	2.730000
250	600	2.920000
250	700	3.300000
250	800	3.840000
250	900	4.500000
250	1000	5.000000
250	1100	5.300000
250	1200	5.660000
250	1300	6.640000
250	1400	6.510000
250	1500	7.250000
250	1600	7.360000
250	1700	8.030000
250	1800	8.440000
250	1900	9.390000
250	2000	9.220000
250	2100	9.400000
250	2200	10.580000
250	2300	10.840000
250	2400	11.560000
250	2500	12.220000
250	2600	12.860000
250	2700	12.460000
250	2800	13.290000
250	2900	13.540000
250	3000	14.490000
250	3100	15.080000
250	3200	15.520000
250	3300	15.510000
250	3400	16.580000
250	3500	17.080000
250	3600	17.310000
250	3700	17.840000
250	3800	17.730000
250	3900	17.640000
250	4000	18.870000
250	4100	18.900000
250	4200	19.860000
250	4300	21.310000
250	4400	20.470000
250	4500	21.480000
250	4600	21.950000
250	4700	22.220000
250	4800	22.330000
250	4900	23.470000
250	5000	24.110000
250	5100	23.550000
250	5200	25.370000
250	5300	25.250000
250	5400	26.280000
250	5500	25.260000
250	5600	26.010000
250	5700	26.600000
250	5800	26.540000
250	5900	26.630000
250	6000	28.990000
250	6100	29.800000
250	6200	30.620000
250	6300	30.020000
250	6400	30.280000
250	6500	31.600000
250	6600	31.620000
250	6700	31.640000
250	6800	32.110000
250	6900	33.390000
250	7000	33.170000
250	7100	33.490000
250	7200	34.760000
250	7300	34.000000
250	7400	35.530000
250	7500	35.930000
250	7600	36.510000
250	7700	36.280000
250	7800	37.500000
250	7900	38.090000
250	8000	38.570000
250	8100	38.260000
250	8200	39.550000
250	8300	39.440000
250	8400	39.760000
250	8500	40.890000
250	8600	40.720000
250	8700	41.120000
250	8800	42.440000
250	8900	41.910000
250	9000	42.140000
250	9100	44.170000
250	9200	43.880000
250	9300	43.770000
250	9400	44.250000
250	9500	45.630000
250	9600	46.250000
250	9700	46.110000
250	9800	45.900000
250	9900	47.660000
250	10000	47.030000
250	10100	48.550000
250	10200	47.310000
250	10300	47.880000
250	10400	48.830000
250	10500	50.490000
250	10600	50.290000
250	10700	50.890000
250	10800	51.600000
250	10900	51.390000
250	11000	51.580000
250	11100	52.690000
250	11200	53.850000
250	11300	52.650000
250	11400	52.940000
250	11500	55.110000
250	11600	56.140000
250	11700	56.430000
250	11800	55.430000
250	11900	57.210000
250	12000	56.290000
250	12100	57.760000
250	12200	58.220000
250	12300	58.500000
250	12400	58.590000
250	12500	59.530000
250	12600	60.310000
250	12700	59.600000
250	12800	60.070000
250	12900	61.360000
250	13000	61.210000
250	13100	62.050000
250	13200	62.300000
250	13300	62.810000
250	13400	64.350000
250	13500	65.570000
250	13600	65.100000
250	13700	64.080000
250	13800	66.160000
250	13900	65.530000
250	14000	65.910000
250	14100	65.940000
250	14200	67.850000
250	14300	68.840000
250	14400	68.170000
250	14500	69.600000
250	14600	69.960000
250	14700	69.420000
250	14800	70.260000
250	14900	70.630000
250	15000	72.360000
250	15100	71.160000
250	15200	72.420000
250	15300	72.100000
250	15400	72.940000
250	15500	74.090000
250	15600	74.770000
250	15700	76.580000
250	15800	74.570000
250	15900	75.070000
250	16000	75.410000
250	16100	77.090000
250	16200	76.100000
250	16300	75.700000
250	16400	78.210000
250	16500	78.390000
250	16600	80.270000
250	16700	79.250000
250	16800	80.970000
250	16900	78.680000
250	17000	80.690000
250	17100	80.900000
250	17200	81.760000
250	17300	82.040000
250	17400	81.730000
250	17500	83.570000
250	17600	83.170000
250	17700	83.250000
250	17800	84.520000
250	17900	83.770000
250	18000	85.110000
250	18100	84.630000
250	18200	87.180000
250	18300	87.600000
250	18400	88.220000
250	18500	86.770000
250	18600	88.710000
250	18700	88.640000
250	18800	89.800000
250	18900	87.640000
250	19000	91.490000
250	19100	92.210000
250	19200	90.570000
250	19300	90.410000
250	19400	91.530000
250	19500	92.660000
250	19600	94.260000
250	19700	92.780000
250	19800	95.140000
250	19900	94.240000
250	20000	96.790000
250	20100	94.860000
250	20200	96.290000
250	20300	95.550000
250	20400	96.970000
250	20500	97.420000
250	20600	97.290000
250	20700	98.800000
250	20800	98.420000
250	20900	99.010000
250	21000	100.240000
250	21100	101.680000
250	21200	101.710000
250	21300	101.430000
250	21400	101.570000
250	21500	102.500000
250	21600	100.330000
250	21700	104.160000
250	21800	102.750000
250	21900	104.730000
250	22000	106.010000
250	22100	103.830000
250	22200	104.300000
250	22300	105.000000
250	22400	105.740000
250	22500	106.180000
250	22600	107.220000
250	22700	108.110000
250	22800	107.930000
250	22900	108.270000
250	23000	110.450000
250	23100	109.750000
250	23200	110.010000
250	23300	110.540000
250	23400	112.470000
250	23500	113.390000
250	23600	110.280000
250	23700	113.620000
250	23800	113.140000
250	23900	113.200000
250	24000	112.270000
250	24100	114.550000
250	24200	114.030000
250	24300	114.950000
250	24400	115.580000
250	24500	118.260000
250	24600	114.980000
250	24700	117.370000
250	24800	116.000000
250	24900	117.570000
250	25000	119.280000
250	25100	119.920000
250	25200	120.470000
250	25300	118.610000
250	25400	122.920000
250	25500	122.210000
250	25600	123.240000
250	25700	122.800000
250	25800	123.240000
250	25900	121.960000
250	26000	124.470000
250	26100	123.230000
250	26200	124.050000
250	26300	124.150000
250	26400	126.510000
250	26500	123.760000
250	26600	126.000000
250	26700	127.340000
250	26800	126.710000
250	26900	127.880000
250	27000	127.680000
250	27100	128.130000
250	27200	129.220000
250	27300	131.190000
250	27400	129.710000
250	27500	132.010000
250	27600	130.220000
250	27700	133.430000
250	27800	132.170000
250	27900	131.860000
250	28000	132.760000
250	28100	133.430000
250	28200	133.060000
250	28300	134.480000
250	28400	133.900000
250	28500	135.630000
250	28600	137.370000
250	28700	135.750000
250	28800	137.320000
250	28900	136.980000
250	29000	138.230000
250	29100	135.950000
250	29200	139.380000
250	29300	138.990000
250	29400	139.520000
250	29500	139.030000
250	29600	141.760000
250	29700	139.840000
250	29800	141.460000
250	29900	142.980000
250	30000	143.310000
250	30100	142.990000
250	30200	143.570000
250	30300	144.000000
250	30400	145.520000
250	30500	145.220000
250	30600	143.140000
250	30700	145.390000
