Rozmiar tablicy	Dlugosc ciagu	Operacje
250	100	3.100000
250	200	2.320000
250	300	2.240000
250	400	2.310000
250	500	2.680000
250	600	3.250000
250	700	3.690000
250	800	3.980000
250	900	3.950000
250	1000	4.960000
250	1100	5.040000
250	1200	5.820000
250	1300	5.840000
250	1400	6.720000
250	1500	7.340000
250	1600	7.910000
250	1700	8.040000
250	1800	8.320000
250	1900	8.550000
250	2000	9.480000
250	2100	9.840000
250	2200	10.860000
250	2300	10.840000
250	2400	11.230000
250	2500	11.900000
250	2600	12.510000
250	2700	13.340000
250	2800	13.290000
250	2900	13.640000
250	3000	13.520000
250	3100	15.070000
250	3200	15.020000
250	3300	15.220000
250	3400	16.530000
250	3500	16.910000
250	3600	17.140000
250	3700	17.430000
250	3800	18.330000
250	3900	18.230000
250	4000	19.350000
250	4100	19.560000
250	4200	19.690000
250	4300	20.540000
250	4400	20.820000
250	4500	21.290000
250	4600	21.220000
250	4700	23.160000
250	4800	22.550000
250	4900	23.330000
250	5000	23.170000
250	5100	25.030000
250	5200	24.480000
250	5300	25.040000
250	5400	26.450000
250	5500	26.140000
250	5600	27.300000
250	5700	26.940000
250	5800	27.090000
250	5900	27.120000
250	6000	28.850000
250	6100	28.680000
250	6200	29.410000
250	6300	30.610000
250	6400	30.880000
250	6500	31.450000
250	6600	31.040000
250	6700	31.860000
250	6800	32.150000
250	6900	32.420000
250	7000	32.200000
250	7100	33.080000
250	7200	33.870000
250	7300	34.260000
250	7400	33.830000
250	7500	34.710000
250	7600	36.590000
250	7700	36.790000
250	7800	37.360000
250	7900	37.930000
250	8000	38.700000
250	8100	39.310000
250	8200	38.700000
250	8300	39.330000
250	8400	39.670000
250	8500	41.040000
250	8600	40.490000
250	8700	42.170000
250	8800	41.780000
250	8900	42.380000
250	9000	43.000000
250	9100	43.010000
250	9200	44.220000
250	9300	44.840000
250	9400	44.360000
250	9500	44.180000
250	9600	45.510000
250	9700	45.760000
250	9800	46.040000
250	9900	46.490000
250	10000	46.990000
250	10100	47.320000
250	10200	48.300000
250	10300	49.180000
250	10400	48.890000
250	10500	49.980000
250	10600	50.300000
250	10700	51.370000
250	10800	50.800000
250	10900	51.970000
250	11000	53.400000
250	11100	52.360000
250	11200	53.200000
250	11300	53.420000
250	11400	53.920000
250	11500	55.960000
250	11600	55.810000
250	11700	56.210000
250	11800	55.920000
250	11900	55.630000
250	12000	54.470000
250	12100	58.320000
250	12200	57.230000
250	12300	57.070000
250	12400	58.920000
250	12500	59.110000
250	12600	61.200000
250	12700	59.290000
250	12800	60.620000
250	12900	61.010000
250	13000	61.830000
250	13100	62.680000
250	13200	61.890000
250	13300	62.680000
250	13400	64.280000
250	13500	64.020000
250	13600	64.460000
250	13700	64.680000
250	13800	65.620000
250	13900	66.090000
250	14000	65.130000
250	14100	67.880000
250	14200	66.380000
250	14300	68.310000
250	14400	68.500000
250	14500	68.920000
250	14600	69.300000
250	14700	68.370000
250	14800	72.100000
250	14900	71.690000
250	15000	72.060000
250	15100	71.680000
250	15200	71.810000
250	15300	73.100000
250	15400	73.840000
250	15500	73.720000
250	15600	75.230000
250	15700	75.170000
250	15800	75.850000
250	15900	75.680000
250	16000	77.000000
