Rozmiar tablicy	Dlugosc ciagu	Operacje
10	10	2.163
10	100	9.967
10	1000	99.872
10	10000	996.559
20	10	2.754
20	100	5.27
20	1000	49.452
20	10000	494.031
30	10	3.494
30	100	3.653
30	1000	33.291
30	10000	330.261
40	10	4.371
40	100	3.07
40	1000	25.066
40	10000	250.999
50	10	5.016
50	100	2.636
50	1000	19.416
50	10000	194.587
60	10	5.79
60	100	2.491
60	1000	16.543
60	10000	165.372
70	10	6.836
70	100	2.45
70	1000	14.604
70	10000	145.446
80	10	7.948
80	100	2.304
80	1000	12.326
80	10000	124.578
90	10	8.95
90	100	2.331
90	1000	11.08
90	10000	110.533
100	10	9.765
100	100	2.315
100	1000	9.689
100	10000	95.625
